health_ratio,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,som_neuron_id
-0.21150231145828446,0.6170238211329028,0.18014158370263272,-1.8879703796170808,-0.7912710523597408,-0.8702897187605452,-0.7886750915833474,-0.5269148250210749,-0.8198847107736977,-0.20557588465260368,-0.7303765264802622,-0.7569895914419388,-1.600819356087266
0.12162560538647883,0.28266917825065146,4.436972947913893,1.9527365856393943,-0.8995757835052517,-1.2063509739012412,-0.9285247042304144,-0.6806192449034293,-1.1877318176620657,-0.4603767532529435,-0.12262912853829293,-0.888222834055695,-0.7140110773586787
1.2171039473182959,-0.6581892354412533,0.25895132252326347,1.2914878214116616,-0.46917323988111453,-0.34958365837507593,-0.5161711223187626,0.046630371363321044,-0.48868903663688834,0.54012360046221,-0.2856490337794053,-0.4393813715243268,-0.8618124571467766
0.24654857420326473,-0.24607769886546035,0.9240624418546909,0.7627472094301506,-0.5726466183264769,-0.6719218340445529,-0.5662762688518092,-0.5724568753565874,-0.7858988367677072,0.5314949786992477,-0.32810359117677834,-0.6013799504513703,-0.19670624810033607
-0.6759595032130019,-1.373552657421872,0.6424830857690166,1.1930677840433432,-0.9621772919517267,-1.011066927268669,-1.0386775329009765,-0.616575736619115,-1.0517883216381037,-0.8245045916499502,-0.7426819067169137,-0.8816574574262069,-0.7879117672527276
2.0499237394302035,-0.36271303940577493,1.3746379637559376,1.854067462881404,-0.631630336599381,-1.0701995225182477,-0.6807462511401008,-0.357555325335888,-0.9345037368331168,-0.22185366300543535,-0.4270937047884404,-0.6807959348012743,-1.3052165965110702
-0.39408203511358736,1.2857331068973967,0.8608383367898733,-0.23245710888879886,1.4234805586443904,-0.13579658324198352,1.4855491051019816,2.8246954418580437,0.3822822834774176,2.5658441432134347,1.9073125902546764,1.9344990942501543,1.3552082396746918
-0.2531433010638799,-0.03613408589288379,0.11525459097517049,-0.1820187684515213,3.732729764878443,1.726995811047876,3.952475340542344,3.647298726043237,1.29590254352081,2.3542330246266263,3.3583842336343332,2.298752132852234,1.8725130689330345
-1.2076829089459893,0.1660338377103326,-0.8687046260866087,-1.016782447333512,-0.7921182563877289,-0.7071546841476265,-0.8161478873325374,-0.6265380601300083,-0.8312133354423614,-1.1564966441297633,-0.7709170795487548,-0.8055380907615479,-0.5662096975705808
-0.464551402138441,-0.9147869846299501,-0.2473295088730759,0.40496790901939667,-0.5950173841465962,-0.5568175775809009,-0.5507083512606015,-0.3888654849415528,-0.45003843482615413,0.8835893878268267,-0.3464715614580164,-0.3847132354312626,0.24669789126395764
0.5092071240231741,-0.6892919929186682,-0.0375018276906446,0.7632638621511508,-0.7895995417099264,-0.7342924592817227,-0.7800407843478877,-0.6094597912541913,-0.7625751977439884,-0.4338379111819946,-0.5391961169767059,-0.6045001294436022,-0.9357131470408255
1.777655730470541,-1.4979636873315445,-0.25406467300598284,0.16420597740155207,0.28886828851281443,-0.20418069289601415,0.14827806630093285,-0.1910422037966707,-0.004890124316317422,0.20878452476445947,0.08225047449732849,-0.03645111416437172,0.6901020306282513
0.4579566752778262,-0.8759085377831815,-0.28137399399707796,0.34466089091158636,0.5881144896419229,0.7844207008505487,0.5589309513328728,-0.12984507365832584,0.9820330012301917,-0.05888931468224552,0.3646470039573774,0.5701079674267215,1.207406859886594
-0.2371275358309588,0.5781453742861299,-0.06819710382552835,0.7169264426809886,1.423663737893686,2.7517552061683466,1.168565371291089,0.7482625843732732,1.152628760946536,0.6304676023803607,1.1595203080846375,1.367471566141,1.5030096194627898
