region,health_ratio,ratio_underage_partic,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes
Орловская область,7.933333333333333,0.3015666666666666,0.3736,61.21915192417396,90.79231722223462,2894.833333333333,897.1666666666666,589.1666666666666,17.0,87.16666666666667,56.204,711406,7686.8
Рязанская область,11.016666666666666,0.2539666666666666,0.3647999999999999,69.57997720842076,93.3440917206313,4377.833333333333,1263.1666666666667,766.1666666666666,15.833333333333334,104.66666666666669,61.991,1100499,8748.4
Смоленская область,6.083333333333333,0.5962999999999999,0.3862,58.67085810473551,87.73147697326968,5084.666666666667,1543.5,958.0,17.666666666666668,206.0,55.33,889216,13552.2
Тамбовская область,8.516666666666666,0.4938499999999999,0.3606,57.92175182871464,91.679097109059,6054.0,1980.6666666666667,1113.6666666666667,38.5,181.3333333333333,55.339,981062,13247.6
Тверская область,7.616666666666666,0.4950666666666666,0.3426,58.8294790377484,86.05853925539128,6258.0,2169.5,1138.6666666666667,47.333333333333336,242.0,53.048,1228159,19284.6
Тульская область,8.566666666666666,0.3729499999999999,0.3506,61.0849690674394,90.37893508222008,5658.0,1639.1666666666667,994.5,32.666666666666664,197.3333333333333,65.707,1495724,15207.0
Ярославская область,6.116666666666667,0.4413833333333333,0.3657999999999999,69.41986012419899,91.94125012538612,5642.333333333333,1659.3333333333333,951.6666666666666,143.0,224.0,60.182,1210127,16775.0
г. Москва,6.266666666666667,0.09125,0.4224,65.47801648202443,86.02715129003147,32329.5,5096.166666666667,5319.166666666667,684.8333333333334,407.0,84.272,13030647,133515.8
Республика Карелия,7.266666666666666,0.91995,0.361,65.3157970312001,86.15375910891298,4269.666666666667,1745.0,746.0,45.66666666666666,231.8333333333333,44.1125,536323,11472.2
Республика Коми,9.783333333333331,0.8275000000000001,0.3863999999999999,57.39313177488822,80.21923828623565,6787.5,3242.333333333333,1306.1666666666667,29.5,302.5,47.397,740849,13914.4
Ненецкий автономный округ,9.0,0.7090333333333333,0.4388,54.79484085,83.63104015,362.3333333333333,181.8333333333333,68.16666666666667,0.8333333333333334,16.666666666666668,45.3935,41686,780.8
Архангельская область,8.55,0.66995,0.371,62.94214784815873,85.69700742480904,6988.5,2759.166667,1222.8333333333333,41.5,312.1666666666667,41.5535,982873,16291.8
Вологодская область,7.899999999999999,0.5919333333333333,0.3571999999999999,60.940827693864456,89.28542537228643,6670.5,2760.6666666666665,1218.5,124.66666666666669,303.5,51.6845,1140388,16834.6
Калининградская область,12.3,0.3692833333333333,0.354,67.83398938510997,88.37941634825654,4409.166666666667,1414.8333333333333,745.8333333333334,23.33333333333333,156.33333333333334,68.15950000000001,1025561,12620.6
Ленинградская область,8.983333333333334,0.3197833333333333,0.351,64.1652516559075,87.99595128982747,7580.0,2422.1666666666665,1312.0,94.0,222.3333333333333,70.19800000000001,1994732,24591.2
Мурманская область,9.6,0.4846999999999999,0.3535999999999999,57.59661375397951,79.634166897481,4030.6666666666665,1161.5,769.8333333333334,16.166666666666668,152.66666666666666,55.866,671899,11731.4
Новгородская область,18.35,0.940383333,0.348,60.30835198283577,87.12660768910126,3581.0,1387.833333,640.0,15.5,237.0,52.9765,582385,10488.0
Псковская область,15.766666666666666,0.4670666666666667,0.3634,62.551810749031645,86.96648491816498,3450.1666666666665,1223.8333333333333,654.1666666666666,10.666666666666666,114.0,49.912,597119,8484.6
г. Санкт-Петербург,7.683333333333333,0.2284333333333333,0.4042,69.11224679745432,87.82936590693615,18907.33333333333,2422.1666666666665,3380.1666666666665,413.6666666666667,396.8333333333333,83.7995,5591176,63364.2
Республика Адыгея (Адыгея),20.75,0.315966667,0.4044,58.7692293,93.17185466,2005.0,456.1666667,335.0,9.833333333,72.0,65.1885,493904,4188.6
